SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20210216|C96657116|VMAR|280|VISION MARINE TECHNOLOGIES INC|15.15
20210216|D18190898|DB|36945|DEUTSCHE BANK AG NAMEN AKT (DE|10.89
20210216|G0083D104|ACEVW|5605|ACE CONVERGENCE ACQUISITION CO|2.65
20210216|G0083D120|ACEV|140373|ACE CONVERGENCE ACQUISITION CO|12.50
20210216|G0084W101|ADNT|3559|ADIENT PLC ORD SHS (IRL)|37.00
20210216|G01022105|CXRXF|4971|ADVANZ PHARMA CORP LTD|16.60
20210216|G0103T105|ACAC|32509|ACIES ACQUISITION CORP USD CL |10.92
20210216|G01046104|IMPX|47002|AEA-BRIDGES IMPACT CORP CL A (|11.00
20210216|G01046112|IMPXWS|12616|AEA-BRIDGES IMPACT CORP WT EXP|2.06
20210216|G0120M109|AGBA|601|AGBA ACQUISITION LTD SHS|10.49
20210216|G0120M117|AGBAW|3300|AGBA ACQUISITION LTD WT EXP 05|0.70
20210216|G0120M125|AGBAR|200|AGBA ACQUISITION LTD RT 05/10/|0.52
20210216|G0132V105|AGMH|1089|AGM GROUP HLDGS INC USD CL A O|14.94
20210216|G01767105|ALKS|2970|ALKERMES PLC ORDINARY SHS (IRE|20.22
20210216|G0232J119|ALUSWS|8164|ALUSSA ENERGY ACQUISITION CORP|3.51
20210216|G0250X107|AMCR|229|AMCOR PLC ORD USD0.01 (JEY)|11.50
20210216|G02602103|DOX|2|AMDOCS LTD ORD|77.59
20210216|G037AX101|AMBA|35|AMBARELLA, INC ORD SHS|124.20
20210216|G0370L124|AGCUU|1508|ALTIMETER GROWTH CORP UNIT 1 S|14.80
20210216|G03707109|ATAC|7001|ALTIMAR ACQUISITION CORP CL A |10.49
20210216|G03709113|ATMRU|139408|ALTIMAR ACQUISITION CORP II 1 |10.53
20210216|G0404A102|ATA|70|AMERICAS TECHNOLOGY ACQUISIT C|10.18
20210216|G0404A110|ATAWS|2309|AMERICAS TECHNOLOGY ACQUISIT C|1.25
20210216|G041JN106|AEHL|10725|ANTELOPE ENTERPRISE HLDGS LTD |3.55
20210216|G0411R106|APSG|49907|APOLLO STRATEGIC GROWTH CAP SH|10.80
20210216|G0411R114|APSGWS|7163|APOLLO STRATEGIC GROWTH CAP WT|2.30
20210216|G0412A110|APGBU|1060|APOLLO STRATEGIC GROWTH CAP II|10.64
20210216|G04553106|ARCE|1343|ARCO PLATFORM LTD CL A COM (CY|37.24
20210216|G04561109|ACTC|464441|ARCLIGHT CLEAN TRANSITION CORP|25.02
20210216|G04561125|ACTCW|7880|ARCLIGHT CLEAN TRANSITION CORP|8.12
20210216|G05384154|AHLPRC|3840|ASPEN INSURANCE HLDGS LTD FXD/|26.79
20210216|G05384162|AHLPRD|823|ASPEN INSURANCE HOLDINGS LIMIT|26.13
20210216|G05384204|AHLPRE|493|ASPEN INSURANCE HOLD LIM DEP S|25.78
20210216|G05436103|ASPL|111015|ASPIRATIONAL CONSUMER LIFESTYL|10.73
20210216|G05436111|ASPLWS|54734|ASPIRATIONAL CONSUMER LIFESTYL|2.10
20210216|G05436129|ASPLU|845|ASPIRATIONAL CONSUMER LIFESTYL|11.36
20210216|G0585R106|AGO|3490|ASSURED GUARNATY LTD|39.43
20210216|G0602B100|ATIF|135528|ATIF HLDGS LTD USD ORD SHS|1.34
20210216|G0682V117|AVANU|14|AVANTI ACQUISITION CORP UNIT 1|11.95
20210216|G06974102|AUIAF|1785|AURANIA RES LTD SHS (BERMUDA) |2.61
20210216|G1144A105|BTBT|72168|BIT DIGITAL, INC. ORDINARY SHA|24.30
20210216|G1151C101|ACN|785|ACCENTURE PLC CL-A ORDINARY SH|257.47
20210216|G1288E103|BIQIF|6420|BIQI INTL HLDGS CORP USD COMMO|0.08
20210216|G1329V106|BHAT|65163|BLUE HAT INTERACTIVE ENTMT TEC|1.63
20210216|G1355U113|BTWN|246332|BRIDGETOWN HLDGS LTD CL A SHS |14.88
20210216|G1355U121|BTWNW|2309|BRIDGETOWN HLDGS LTD USD RED W|4.35
20210216|G1355V103|BTNB|17032|BRIDGETOWN 2 HLDGS LTD USD CL |13.38
20210216|G1466B103|BRQS|27896|BORQS TECHNOLOGIES INC SHS (VG|2.57
20210216|G1466R207|BORR|619056|BORR DRILLING LTD SHS (BERMUDA|1.32
20210216|G1611B107|BROG|37|BROOGE ENERGY LIMITED ORDINARY|10.75
20210216|G16234109|BBU|800|BROOKFIELD BUSINESS PARTNERS L|42.60
20210216|G16249107|BPY|118009|BROOKFIELD PPTY PARTNERS L P U|17.74
20210216|G16249149|BPYPP|1643|BROOKFIELD PPTY PARTNERS LP PF|24.57
20210216|G16249156|BPYPO|870|BROOKFIELD PPTY PART P|24.45
20210216|G16252101|BIP|17951|BROOKFIELD INFRASTRUCTURE PART|50.60
20210216|G16252267|BIPPRA|354|BROOKFIELD INFRASTRUCTURE PART|25.55
20210216|G16252275|BIPPRB|1196|BROOKFIELD INFRASTRUCTURE PART|25.35
20210216|G16258108|BEP|1043|BROOKFIELD RENEWABLE PARTNERS |46.29
20210216|G1643W129|BRLIW|1124|BRILLIANT ACQUISITION CORP WT |0.99
20210216|G1686P114|BHSEU|36|BULL HORN HLDGS CORP UNITS 1 O|11.00
20210216|G16962105|BG|2029|BUNGE LIMITED|78.00
20210216|G1702T116|BTAQ|3293|BURGUNDY TECHNOLOGY AQUISITION|10.98
20210216|G1702T124|BTAQW|2206|BURGUNDY TECH AQUIST CORP USD |2.45
20210216|G1739V100|BSN|7619|BROADSTONE ACQUISITION CORP|10.25
20210216|G17977110|BUR|352|BURFORD CAPITAL LIMITED, ST PE|9.07
20210216|G1890L107|CPRI|1468|CAPRI HLDGS LTD SHS (VGB)|46.01
20210216|G1899E146|CUPUF|3293|CARIBBEAN UTILITIES LTD CL-A|15.11
